CountyName,loc_ID,year,yield,Precipitation,SolarRadiation,AverageMax,AverageMin,AvergaeTemperature,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15,W_1_16,W_1_17,W_1_18,W_1_19,W_1_20,W_1_21,W_1_22,W_1_23,W_1_24,W_1_25,W_1_26,W_1_27,W_1_28,W_1_29,W_1_30,W_1_31,W_1_32,W_1_33,W_1_34,W_1_35,W_1_36,W_1_37,W_1_38,W_1_39,W_1_40,W_1_41,W_1_42,W_1_43,W_1_44,W_2_10,W_2_11,W_2_12,W_2_13,W_2_14,W_2_15,W_2_16,W_2_17,W_2_18,W_2_19,W_2_20,W_2_21,W_2_22,W_2_23,W_2_24,W_2_25,W_2_26,W_2_27,W_2_28,W_2_29,W_2_30,W_2_31,W_2_32,W_2_33,W_2_34,W_2_35,W_2_36,W_2_37,W_2_38,W_2_39,W_2_40,W_2_41,W_2_42,W_2_43,W_2_44,W_4_10,W_4_11,W_4_12,W_4_13,W_4_14,W_4_15,W_4_16,W_4_17,W_4_18,W_4_19,W_4_20,W_4_21,W_4_22,W_4_23,W_4_24,W_4_25,W_4_26,W_4_27,W_4_28,W_4_29,W_4_30,W_4_31,W_4_32,W_4_33,W_4_34,W_4_35,W_4_36,W_4_37,W_4_38,W_4_39,W_4_40,W_4_41,W_4_42,W_4_43,W_4_44,W_5_10,W_5_11,W_5_12,W_5_13,W_5_14,W_5_15,W_5_16,W_5_17,W_5_18,W_5_19,W_5_20,W_5_21,W_5_22,W_5_23,W_5_24,W_5_25,W_5_26,W_5_27,W_5_28,W_5_29,W_5_30,W_5_31,W_5_32,W_5_33,W_5_34,W_5_35,W_5_36,W_5_37,W_5_38,W_5_39,W_5_40,W_5_41,W_5_42,W_5_43,W_5_44,State,lat,long,DOMCountyI,PrecipitationLevels,SolarRadiationLevels,AvergaeTemperatureLevels,Yield
adair,194,2018,149.4,2.356060606,393.1913424,13.1525974,1.277056277,7.21482684,1.130952381,1.976190476,2.452380952,2.035714286,0.107142857,2.892857143,0.273809524,0.119047619,9.047619048,3.321428571,2.55952381,0.273809524,7.05952381,3.392857143,8.75,4.416666667,11.98809524,0.380952381,1.464285714,0,0.511904762,1.142857143,0.988095238,4.202380952,11.92857143,10.61904762,15.88095238,0,4.05952381,3.702380952,4.988095238,9.928571429,0.511904762,0.369047619,2.726190476,353.8285711,348.0380987,287.0095236,385.0285717,467.7333338,383.8095229,432.7619046,523.7333352,368.6857142,382.0952381,392.380952,397.6380939,416.4571424,398.5904763,332.7619033,298.3238106,328.6095241,440.990476,412.6476208,416.1523808,429.6000003,428.5714278,416.5714295,341.1809542,327.9619039,290.7428571,239.0095248,392.7238105,348.304764,278.666665,225.9047618,219.542857,320.190476,299.0095269,238.7428583,4.785714286,7.541666667,6.964285714,8.494047619,3.75,11.46428571,8.696428571,20.42857143,23.93452381,22.98809524,25.63095238,28.44642857,31.89880952,29.46428571,28.80357143,26.89880952,28.68452381,29.31547619,32.11309524,28.64880952,27.02380952,28.83333333,30.73214286,28.88690476,25.64880952,27.98809524,24,27.68452381,27.44047619,17.99404762,16.43452381,13.20833333,14.04166667,15.29761905,13.73809524,-4.922619048,-3.529761905,-0.791666667,-2.232142857,-8.648809524,-0.392857143,-2.041666667,2.803571429,11.05952381,10.01785714,12.72619048,15.91071429,16.76785714,16.48214286,18.5,17.53571429,18.38095238,17.17857143,20.06547619,17.47619048,14.32142857,15.38690476,16.79761905,17.22619048,15.22619048,16.89285714,15.69047619,14.98214286,13.95833333,7.654761905,6.702380952,4.946428571,0.327380952,0.714285714,1.81547619,iowa,41.3127814,-94.4953303,1,P2,S1,T3,Y1
adams,195,2018,171.5,1.753246753,393.4857146,13.91477273,1.668831169,7.791801948,0.803571429,1.678571429,1.839285714,2.232142857,0.125,2.107142857,0.232142857,0.214285714,7.446428571,2.214285714,0.392857143,0.857142857,7.892857143,2.5,8.964285714,6.375,9.321428571,0,1.839285714,0.339285714,1.732142857,0.946428571,0.875,3.160714286,14.05357143,10.26785714,18.35714286,0,4.214285714,2.125,7.303571429,10.66071429,0.482142857,0.464285714,2.696428571,347.7142841,330.0571436,278.7428601,379.7142882,474.9142848,384.3428587,423.3714294,520.9142827,375.0857149,404.7999979,408.6857158,387.7142835,413.8857128,404.4571424,334.9142865,309.3142823,343.7142871,447.0285699,420.3428579,401.2571438,422.5714272,419.542857,419.4857134,351.5428565,319.3142861,291.6571432,228.7999998,396.6857147,355.0285715,289.4857141,227.4285705,206.3428559,327.2571425,296.9142874,239.7142863,5.8125,8.5,7.857142857,8.848214286,4.017857143,12.70535714,9.330357143,20.84821429,24.69642857,24.40178571,26.04464286,28.8125,31.94642857,29.47321429,29.72321429,26.98214286,29.34821429,29.79464286,32.63392857,28.89285714,27.26785714,28.92857143,31.36607143,29.08035714,25.6875,28.375,24.16964286,27.79464286,28.16071429,18.58928571,17.08928571,13.55357143,14.51785714,15.60714286,14.20535714,-4.035714286,-3.303571429,0.116071429,-1.758928571,-8.848214286,-0.080357143,-1.660714286,3.160714286,11.16964286,10.42857143,13.16964286,16.23214286,16.89285714,16.33035714,19.08928571,17.5625,18.58035714,17.47321429,19.91964286,17.8125,14.5,15.58035714,17.125,17.47321429,15.39285714,17.30357143,16.1875,15.04464286,14.22321429,7.723214286,7.3125,5.544642857,0.357142857,1.089285714,2.276785714,iowa,41.0161621,-94.6850186,2,P1,S1,T3,Y1
allamakee,196,2018,198.4,3.973026974,409.4337667,11.26723277,-1.135864136,5.065684315,2.263736264,0,0,1.32967033,1.483516484,8.461538462,3.604395604,0,17.50549451,8.626373626,0.428571429,5.934065934,5.252747253,10.37362637,0.516483516,9.021978022,6.054945055,2.021978022,4.857142857,5.461538462,0,2.197802198,3.736263736,3.384615385,1.296703297,17.43956044,16.7032967,0,13.51648352,3.648351648,7.417582418,9.824175824,1.186813187,0.769230769,4.054945055,350.9450546,396.3780249,431.6483516,398.9450551,422.9274721,359.7362624,421.8022003,576.2109912,392.7560438,345.8109892,406.6109882,324.9230769,375.2087912,375.2791215,336.8439581,266.654944,372.7824174,446.6285716,399.5076901,348.1670334,421.1692297,405.0989021,376.3340672,369.3362631,332.8703305,292.6417585,288.1758242,405.5560434,285.8549457,300.7999987,173.7494513,232.4395615,288.9142858,257.4065944,220.342857,1.956043956,6.203296703,7.664835165,7.527472527,1.10989011,6.203296703,6.456043956,18.76373626,23.59340659,20.0989011,24.36263736,25.10989011,29.6043956,26.23626374,26.58791209,25.1043956,28.95604396,28.78571429,30.03296703,26.5,25.93406593,27.15934066,28.21978022,29.05494505,24.78021978,26.6043956,23.5989011,27.12087912,24.03846154,16.97252747,15.34615385,14.11538462,12.25824176,12.8956044,11.51648352,-8.758241758,-5.406593407,-4.994505495,-4.489010989,-10.12087912,-3.225274725,-4.368131868,0.615384615,9.961538462,7.604395604,10.68681319,13.98901099,16.53296703,14.0989011,17.24725275,16.94505495,17.96703297,15.97802198,18.2967033,16.8956044,14.18131868,14.26923077,16.7032967,16.93406593,14.36813187,15.87362637,14.23076923,12.38461538,12.34065934,5.758241758,6.423076923,4.538461538,-0.631868132,0.197802198,0.93956044,iowa,43.2961731,-91.3961856,3,P3,S3,T1,Y2
audubon,198,2018,179.4,2.612554113,389.01472,12.44588745,0.701298701,6.573593074,1.19047619,2.214285714,3.142857143,1.833333333,0.047619048,4.19047619,0.476190476,0.19047619,10.04761905,2.5,2.904761905,0.619047619,6,5.5,6.785714286,11.57142857,10.47619048,1.476190476,1.452380952,0,0.30952381,0.047619048,1.30952381,4.69047619,17.26190476,6.30952381,8.476190476,0,5.976190476,5.69047619,4.761904762,10.52380952,0.80952381,0.357142857,1.976190476,347.1238127,348.1904802,289.8285699,369.5238106,456.7619026,373.1047636,437.0285717,527.0095266,356.1904771,381.4857181,392.914287,384.6857147,415.5428561,391.3904739,322.3619021,288.5333346,312.9142856,435.42857,408.7619062,425.4476195,438.5523812,449.6761932,411.9619046,336.380952,329.0666664,301.6380957,265.9809516,396.4190463,348.1142872,265.2190455,214.5523823,213.3333337,308.4952374,297.2190519,246.0952392,4.05952381,6.678571429,6.738095238,7.761904762,2.964285714,10.16666667,7.904761905,20.03571429,23.02380952,22.36904762,25.20238095,27.80952381,31.78571429,29.35714286,28.32142857,26.41666667,28.29761905,28.58333333,31.25,28.05952381,26.33333333,28.26190476,29.6547619,28.22619048,24.8452381,27.25,23.97619048,27.67857143,27.19047619,17.8452381,15.42857143,12.30952381,13.29761905,15.21428571,13.47619048,-5.19047619,-3.880952381,-0.785714286,-2.738095238,-9.142857143,-1.273809524,-2.785714286,1.880952381,10.33333333,9.19047619,12.10714286,15.17857143,16.45238095,15.96428571,18.27380952,17.25,18.19047619,16.51190476,19.71428571,16.77380952,13.72619048,14.33333333,16.03571429,16.47619048,14.30952381,16.25,15.01190476,14.42857143,13.25,7.666666667,6.119047619,4.154761905,0.19047619,0.30952381,0.523809524,iowa,41.670205,-94.9106526,5,P2,S1,T2,Y2
benton,199,2018,214.5,2.280844156,399.5688311,12.39975649,0.144480519,6.272118506,3.508928571,1.3125,3.883928571,1.321428571,0.375,2.473214286,1.1875,0,5.1875,1.830357143,4.008928571,5.508928571,1.071428571,7.651785714,2.1875,8.919642857,7.625,0.526785714,3.276785714,5.633928571,0.75,0.848214286,10.72321429,2.241071429,7.0625,14.41071429,17.1875,0,8.964285714,4.616071429,6.633928571,9.446428571,0.3125,0.446428571,3.3125,318.7142859,394.5714271,370.0571436,354.5142869,480.1428569,388.1142855,388.9714268,530.6285703,398.5714295,388.0000004,382.9714294,325.6571422,420.5714316,418.8000003,330.4000013,294.7428558,352.5428583,461.6857155,406.0285709,349.8857134,410.0571425,419.171429,368.6285729,350.2571445,320.6571435,293.1142859,259.7142863,418.5142858,318.6571403,306.8857147,205.5142862,212.3714289,320.342855,282.4285718,229.3714297,2.866071429,7.415178571,6.888392857,6.044642857,3.040178571,8.924107143,8.111607143,20.48660714,24.74553571,22.34821429,25.52678571,26.67410714,31.59375,29.30357143,27.71428571,27.11160714,29.01785714,29.44196429,31.25,27.3125,26.08035714,28.07589286,29.20089286,29.00892857,25.30357143,27.48660714,24.41964286,27.91071429,25.88839286,18.73660714,17.16964286,15.25,12.67410714,14.42857143,13.34375,-6.223214286,-4.825892857,-3.977678571,-3.84375,-8.928571429,-1.78125,-2.46875,1.723214286,10.42410714,9.227678571,12.26339286,15.20982143,17.18303571,14.9375,17.64285714,17.91964286,18.17410714,15.8125,18.86160714,16.89285714,13.84375,14.70535714,16.80357143,17.44642857,14.49107143,17,16.00446429,12.82142857,13.15178571,6.803571429,7.638392857,6.714285714,-0.723214286,0.584821429,1.799107143,iowa,42.0599693,-92.0776319,6,P1,S2,T2,Y3
black hawk,200,2018,206.3,2.096320346,398.4935065,11.43777056,-0.252164503,5.59280303,2.416666667,0.380952381,3.630952381,0.642857143,0.678571429,3.297619048,3.023809524,0,5.238095238,1.404761905,2.345238095,3.571428571,1.666666667,7.785714286,1.654761905,7.785714286,9.833333333,2.380952381,2.202380952,5.702380952,0.666666667,1.714285714,14.6547619,3.166666667,6.297619048,14.48809524,14.75,0,12.86904762,4.25,14.23809524,9.047619048,0.928571429,0.5,3.25,316.6095247,392.7999987,382.9714292,371.0857137,461.4095245,390.3999992,382.1333324,530.552382,385.2190494,368.6476184,401.5999988,337.9047612,418.7809528,421.0285721,331.0476187,293.6380946,354.3238097,441.2571418,398.5904779,352.3428575,422.2476196,413.6761936,367.2380971,359.2761899,321.0666664,292.9904751,274.3238077,413.4857123,313.82857,307.3904782,182.019048,217.5619042,311.1238087,277.0285712,239.5809526,1.702380952,6.30952381,6.345238095,5.166666667,1.857142857,7.583333333,7.011904762,19.7797619,23.6547619,20.92857143,25.47619048,26.63095238,31.5,28.89880952,27.35119048,26.67857143,28.63690476,29.07142857,30.66666667,26.95833333,26.0297619,27.51190476,28.70833333,28.72619048,24.67857143,27.02380952,23.67261905,27.98809524,25.48809524,18.1547619,15.71428571,14.44047619,12.5297619,13.98214286,12.94642857,-7.071428571,-4.583333333,-4.047619048,-4.398809524,-9.398809524,-2.494047619,-3.05952381,1.577380952,10.13095238,8.857142857,11.71428571,15.25,17.14880952,14.73214286,17.41071429,17.72619048,18.06547619,16.27380952,19.0297619,16.99404762,13.6547619,14.5297619,16.64880952,17.54166667,14.32738095,16.48214286,15.20238095,13.18452381,13.0297619,6.404761905,6.708333333,5.93452381,-0.761904762,0.464285714,1.136904762,iowa,42.4607526,-92.3030235,7,P1,S2,T2,Y3
boone,201,2018,193.7,2.73051948,394.5974031,12.5,1.112554113,6.806277057,1.535714286,2.976190476,3.964285714,2.095238095,0.345238095,4.952380952,0.821428571,0,10.86904762,1.25,1.226190476,0.642857143,4.630952381,3.130952381,12.83333333,12.83333333,9.69047619,4.202380952,0.964285714,0.19047619,0.642857143,1.5,6.821428571,3.761904762,8.369047619,10.38095238,6.904761905,0,5.678571429,5.25,6.69047619,8.654761905,1.095238095,0.273809524,3.035714286,322.6285715,353.2571437,311.0857144,366.0190471,498.9333354,393.3333362,425.9047634,527.6952366,359.9238076,380.4571437,401.3333344,384.9142867,419.5047604,395.4285732,306.8190469,290.514285,329.7523809,430.5904755,400.8761907,413.4857134,434.895239,425.9428573,379.5047626,326.9333324,325.9428575,289.6761909,273.0285712,400.4952385,325.7142854,283.8857156,206.5904753,218.9714281,311.5047627,303.6571432,235.5428576,3.68452381,6.976190476,6.232142857,7.154761905,3.517857143,9.56547619,8.196428571,20.69047619,23.5,22.03571429,25.94642857,28.26190476,32.41071429,29.75595238,28.48809524,27.10119048,28.5297619,29.29166667,31.64880952,28.68452381,27.04761905,28.95238095,29.43452381,28.67857143,25.7202381,27.21428571,24.43452381,28.30952381,26.80952381,17.99404762,15.86904762,13.32142857,14.32738095,15.38690476,13.58928571,-5.178571429,-3.452380952,-1.369047619,-2.541666667,-8.178571429,-1.25,-2.244047619,2.946428571,10.66666667,9.976190476,12.86309524,15.82142857,17.08333333,16.66666667,18,17.82142857,18.76190476,17.27380952,20.11904762,17.53571429,14.31547619,15.07142857,16.83928571,17.63095238,15.25,16.82738095,15.875,14.69642857,13.78571429,7.464285714,6.857142857,5.226190476,0.44047619,0.595238095,1.470238095,iowa,42.0171798,-93.9254114,8,P2,S1,T2,Y2
bremer,202,2018,212.4,2.918831169,398.2233765,10.74188312,-0.517045455,5.112418831,2.589285714,0.125,4.5,0.964285714,0.803571429,4.982142857,2.589285714,0,9.589285714,4.428571429,1.535714286,4.714285714,1.696428571,15.91071429,1.946428571,9.732142857,10.89285714,3.839285714,1.892857143,4.160714286,0.642857143,3.267857143,11.85714286,4.196428571,7.232142857,18.35714286,16.83928571,0,17.80357143,3.696428571,10.14285714,10.19642857,1.303571429,0.517857143,3.464285714,318.1142867,391.1999991,383.3142828,382.9714282,447.8857144,375.3714284,409.6571432,535.8857117,391.4857164,331.3142858,413.2571447,310.057145,402.0571447,403.1428571,316.3999988,264.5714288,351.5428568,437.4857172,391.8285732,365.6571424,429.7714293,402.6857136,372.5142852,364.2857124,322.6857161,300.971429,284.0571398,410.5714269,307.1428552,312.2857137,179.9428567,219.1428577,291.8857128,267.9428575,237.1428578,0.919642857,5.651785714,6.160714286,4.758928571,0.892857143,6.544642857,6.107142857,18.99107143,23.13392857,19.95535714,25.04464286,26.33928571,31.10714286,28.36607143,26.84821429,26.00892857,28.33928571,28.73214286,30.26785714,26.70535714,25.9375,27.1875,28.30357143,28.65178571,24.35714286,26.57142857,23.29464286,27.89285714,24.99107143,17.67857143,15.125,13.72321429,12.10714286,13.36607143,12.29464286,-7.669642857,-4.642857143,-4.008928571,-4.794642857,-9.830357143,-2.821428571,-3.571428571,1.642857143,10.08035714,8.651785714,11.27678571,15.05357143,17.0625,14.33035714,17.20535714,17.61607143,18.08928571,16.44642857,18.99107143,17,13.66071429,14.42857143,16.61607143,17.50892857,14.27678571,16.05357143,14.67857143,13.25,12.70535714,5.857142857,6.116071429,5.151785714,-1.035714286,0.455357143,0.741071429,iowa,42.7669649,-92.3099856,9,P2,S2,T1,Y3
buchanan,203,2018,207.1,2.206709957,403.4493504,11.46266234,-0.555735931,5.453463204,3.928571429,0.297619048,3,0.726190476,0.583333333,3.178571429,1.571428571,0,5.714285714,1.988095238,3.285714286,6,2.5,12,1.416666667,10.3452381,6.297619048,1.452380952,3.845238095,5.964285714,0.5,1.880952381,17.29761905,4.666666667,3.464285714,10.60714286,15.96428571,0,13.44047619,4.083333333,13.32142857,9.619047619,0.666666667,0.416666667,3.214285714,317.1428566,395.5047611,397.1428593,392.6476202,452.3809527,385.1047621,409.2952379,533.2952343,401.1428579,361.6761896,392.6095232,322.1714281,395.4285732,402.285713,322.4380949,282.4000006,361.2952374,455.5428558,399.5809517,340.3428557,412.4952382,399.2761906,362.0190468,358.0952394,327.0857153,306.1714287,270.5523827,420.495236,310.1714303,321.1428573,184.9523818,214.7047614,306.7809525,272.5333361,237.5238103,1.488095238,6.19047619,6.797619048,5.857142857,1.666666667,7.595238095,6.767857143,19.73214286,23.92857143,20.88690476,25.17857143,25.67261905,31.00595238,27.98809524,26.63690476,26.30357143,28.88095238,29.08333333,30.57142857,26.73809524,25.80357143,27.42857143,28.32738095,28.80357143,24.41071429,26.96428571,23.89285714,27.55952381,25.22619048,18.55357143,15.95238095,14.7797619,12.10714286,13.71428571,12.71428571,-7.791666667,-4.821428571,-4.517857143,-4.351190476,-9.571428571,-2.541666667,-3.327380952,1.220238095,9.714285714,8.363095238,11.51190476,14.66071429,16.85714286,14.20833333,17.26190476,17.82142857,17.99404762,15.69047619,18.58928571,16.95833333,13.68452381,14.20833333,16.61309524,17.25,14.05952381,16.26190476,15.29166667,12.23214286,12.71428571,5.827380952,6.797619048,5.946428571,-1.107142857,0.30952381,1.083333333,iowa,42.4634928,-91.8449198,10,P1,S2,T1,Y3
buena vista,204,2018,193.1,2.863636364,388.8519485,10.67748918,0.197510823,5.4375,2.25,1.952380952,4.69047619,0.178571429,1.035714286,4.797619048,2.833333333,0.011904762,7.44047619,4.797619048,1.511904762,1.5,5.297619048,1.297619048,5.773809524,14.11904762,7.880952381,3.964285714,4.023809524,0.05952381,0,2.595238095,5.488095238,4.75,8.55952381,5.797619048,11.91666667,0,17.46428571,1,2.571428571,5.702380952,0.880952381,0.273809524,1.69047619,294.2095259,338.3238104,300.571428,391.5047618,476.5333343,380.3047613,443.3523832,535.6190451,392.5714304,332.5714289,391.8095244,403.3523823,392.5714282,400.6095225,335.8476205,256.3809509,320.1142865,419.5047618,389.9428573,421.7523793,452.7999994,419.5809511,371.8476185,335.2000026,333.6000014,298.3238095,312.8761896,383.238096,326.0190479,293.2190466,212.1142847,196.1523814,309.5619049,288.2285721,216.7238087,1.619047619,5.285714286,5.380952381,6.422619048,1.922619048,6.797619048,5.011904762,18.27380952,22.98214286,19.94642857,23.80952381,28.63690476,31.60714286,29.70833333,29.0297619,24.98809524,27.82142857,28.69642857,30.31547619,27.66666667,26.39880952,27.82738095,28.44047619,27.94642857,24.81547619,25.78571429,23.35714286,28.19047619,25.75595238,17.07738095,14.86309524,10.03571429,13.85119048,14.80357143,12.66071429,-6.392857143,-3.678571429,-1.345238095,-3.178571429,-9.267857143,-2.333333333,-4.196428571,2.166666667,9.678571429,9.166666667,11.55357143,15.45238095,17.0297619,16.86309524,18.24404762,17.04761905,18.57142857,17.60119048,20.04166667,17.05952381,14.04761905,14.43452381,16.82738095,17.18452381,14.64880952,15.97619048,13.79166667,15.58928571,12.96428571,7.101190476,5.202380952,2.898809524,-0.017857143,0.791666667,1.226190476,iowa,42.7445814,-95.1127525,11,P2,S1,T1,Y2
