OID_,FID_1,PERIMETER,DOMCountyI,FIPS,FIPS_INT,CountyName,StateAbbr,SHAPE_Leng,OBJECTID,CountyName_1,loc_ID,year,yield,Precipitation,SolarRadiation,AverageMax,AverageMin,AvergaeTemperature,W_1_10,W_1_11,W_1_12,W_1_13,W_1_14,W_1_15,W_1_16,W_1_17,W_1_18,W_1_19,W_1_20,W_1_21,W_1_22,W_1_23,W_1_24,W_1_25,W_1_26,W_1_27,W_1_28,W_1_29,W_1_30,W_1_31,W_1_32,W_1_33,W_1_34,W_1_35,W_1_36,W_1_37,W_1_38,W_1_39,W_1_40,W_1_41,W_1_42,W_1_43,W_1_44,W_2_10,W_2_11,W_2_12,W_2_13,W_2_14,W_2_15,W_2_16,W_2_17,W_2_18,W_2_19,W_2_20,W_2_21,W_2_22,W_2_23,W_2_24,W_2_25,W_2_26,W_2_27,W_2_28,W_2_29,W_2_30,W_2_31,W_2_32,W_2_33,W_2_34,W_2_35,W_2_36,W_2_37,W_2_38,W_2_39,W_2_40,W_2_41,W_2_42,W_2_43,W_2_44,W_4_10,W_4_11,W_4_12,W_4_13,W_4_14,W_4_15,W_4_16,W_4_17,W_4_18,W_4_19,W_4_20,W_4_21,W_4_22,W_4_23,W_4_24,W_4_25,W_4_26,W_4_27,W_4_28,W_4_29,W_4_30,W_4_31,W_4_32,W_4_33,W_4_34,W_4_35,W_4_36,W_4_37,W_4_38,W_4_39,W_4_40,W_4_41,W_4_42,W_4_43,W_4_44,W_5_10,W_5_11,W_5_12,W_5_13,W_5_14,W_5_15,W_5_16,W_5_17,W_5_18,W_5_19,W_5_20,W_5_21,W_5_22,W_5_23,W_5_24,W_5_25,W_5_26,W_5_27,W_5_28,W_5_29,W_5_30,W_5_31,W_5_32,W_5_33,W_5_34,W_5_35,W_5_36,W_5_37,W_5_38,W_5_39,W_5_40,W_5_41,W_5_42,W_5_43,W_5_44,State,lat,long,DOMCountyI_1,Shape_Length,Shape_Area
1,1,193975.500000000000000,60,19119,19119,Lyon,IA,2.212752670855300,57,lyon,253,2018,193.099999999999994,3.019480520000000,397.842424499999993,10.034632029999999,-0.451298702000000,4.791666666000000,3.369047619000000,1.154761905000000,4.880952381000000,1.250000000000000,1.785714286000000,6.857142857000000,1.761904762000000,0.023809524000000,2.785714286000000,7.988095238000000,1.357142857000000,1.702380952000000,3.976190476000000,3.726190476000000,4.083333333000000,23.404761900000000,12.214285710000000,1.821428571000000,6.821428571000000,0.428571429000000,0.964285714000000,5.619047619000000,3.583333333000000,7.726190476000000,5.000000000000000,1.928571429000000,6.738095238000000,0,21.595238100000000,0.476190476000000,2.250000000000000,8.130952381000000,0.059523810000000,0.714285714000000,2.857142857000000,259.847619699999996,345.066667300000006,308.685715599999980,397.219048400000020,476.190477999999985,365.028569399999981,469.523808400000007,576.076191500000050,456.876191300000016,326.209522600000014,395.542857200000014,376.609523400000000,400.838093300000025,375.238095199999975,343.847619199999997,248.228572799999995,327.314287600000000,404.419048099999998,401.485712700000022,418.895239699999991,434.400000799999987,408.000001499999996,368.266666600000008,324.876189800000020,342.285713400000020,315.542856700000016,334.019048199999986,355.580951500000026,281.676191099999983,308.152379699999983,238.171426999999994,175.314286799999991,318.742858000000012,281.180953600000009,208.076189400000004,0.744047619000000,4.404761905000000,5.101190476000000,5.476190476000000,0.648809524000000,5.375000000000000,5.732142857000000,16.654761900000000,23.172619050000002,19.404761900000000,23.666666670000001,28.285714290000001,30.934523810000002,29.535714290000001,29.488095240000000,24.035714290000001,27.845238100000000,29.053571430000002,31.202380949999998,27.904761900000000,26.345238100000000,27.434523810000002,28.648809520000000,28.226190480000000,25.035714290000001,25.416666670000001,23.738095240000000,28.261904760000000,22.785714290000001,16.410714290000001,13.755952380000000,7.892857143000000,12.654761900000000,14.994047620000000,12.202380950000000,-6.511904762000000,-4.642857143000000,-1.619047619000000,-3.511904762000000,-10.220238100000000,-2.958333333000000,-4.136904762000000,1.607142857000000,8.017857143000001,8.250000000000000,10.761904760000000,15.000000000000000,16.547619050000002,16.595238100000000,17.982142860000000,16.357142860000000,18.101190480000000,17.916666670000001,19.577380949999998,16.380952380000000,13.505952380000000,13.636904760000000,16.410714290000001,17.154761900000000,14.089285710000000,15.196428570000000,13.041666670000000,16.416666670000001,12.297619050000000,6.238095238000000,4.035714286000000,1.309523810000000,-1.017857143000000,0.714285714000000,0.630952381000000,iowa,43.374707100000002,-96.208191700000000,60,266602.936477076204028,2883177097.319912910461426
2,2,130929.600000000005821,72,19143,19143,Osceola,IA,1.434543198167769,67,osceola,265,2018,180.300000000000011,3.103896104000000,405.870130599999982,9.230519481000000,-0.840909091000000,4.194805195000000,3.392857143000000,0.642857143000000,4.035714286000000,0.178571429000000,2.142857143000000,7.500000000000000,1.607142857000000,0.000000000000000,4.678571429000000,8.785714285999999,1.178571429000000,1.285714286000000,3.785714286000000,1.642857143000000,7.607142857000000,21.892857140000000,14.428571430000000,3.571428571000000,5.714285714000000,0.357142857000000,0.000000000000000,5.678571429000000,2.464285714000000,8.964285714000001,3.964285714000000,1.500000000000000,12.535714290000000,0,21.107142860000000,0.142857143000000,2.428571429000000,6.357142857000000,0.535714286000000,0.464285714000000,1.714285714000000,285.599999599999990,356.799999800000023,293.371429400000011,398.971432800000002,476.914287000000002,366.285714299999995,481.371426199999974,592.685721299999955,476.342855199999974,336.799997599999983,399.428573599999993,391.999998899999980,387.657142599999986,384.114287199999978,341.371428400000013,239.885713799999991,333.714285200000006,407.314286400000015,384.000000000000000,418.971427899999981,449.028572100000019,412.457141299999989,367.542857599999991,328.114286199999981,343.314285299999995,323.885712800000022,314.742856700000004,368.799997599999983,294.171426499999995,322.285712699999976,222.628572200000008,178.971430900000001,305.142856600000016,279.771430399999986,223.085716800000000,0.250000000000000,3.517857143000000,4.214285714000000,4.446428571000000,-0.017857143000000,4.410714286000000,4.053571429000000,15.928571430000000,22.482142860000000,18.660714290000001,23.589285709999999,27.928571430000002,31.178571430000002,29.214285709999999,29.107142860000000,23.946428569999998,27.982142860000000,28.553571430000002,30.875000000000000,27.625000000000000,26.196428569999998,27.375000000000000,28.321428569999998,28.339285709999999,24.982142860000000,25.500000000000000,23.214285709999999,27.964285709999999,23.285714290000001,16.892857140000000,13.964285710000000,8.214285714000001,12.071428570000000,14.482142860000000,12.017857140000000,-7.196428571000000,-5.392857143000000,-1.821428571000000,-3.785714286000000,-10.625000000000000,-3.267857143000000,-5.089285714000000,1.446428571000000,7.910714286000000,7.732142857000000,10.839285710000000,15.178571430000000,16.750000000000000,16.375000000000000,18.000000000000000,16.571428569999998,18.232142860000000,17.714285709999999,19.482142860000000,16.553571430000002,13.464285710000000,13.750000000000000,16.339285709999999,17.160714290000001,13.910714290000000,15.160714290000000,13.232142860000000,15.625000000000000,12.500000000000000,6.053571429000000,4.089285714000000,1.553571429000000,-1.089285714000000,0.571428571000000,0.535714286000000,iowa,43.368461300000000,-95.629994400000001,72,180087.231789512617979,1958418275.735785722732544
3,3,131290.500000000000000,30,19059,19059,Dickinson,IA,1.438023479544999,28,dickinson,223,2018,160.400000000000006,3.108766233000000,413.418182600000023,8.888798701000001,-0.853084415000000,4.017857143000000,3.571428571000000,0.375000000000000,2.750000000000000,0.000000000000000,1.589285714000000,8.982142856999999,0.196428571000000,0.000000000000000,5.625000000000000,10.089285710000000,1.017857143000000,4.553571429000000,3.482142857000000,3.160714286000000,3.053571429000000,23.714285709999999,14.267857140000000,4.000000000000000,5.946428571000000,0.767857143000000,0.000000000000000,5.410714286000000,2.142857143000000,6.964285714000000,4.696428571000000,4.321428571000000,13.053571430000000,0,23.035714290000001,0.178571429000000,2.285714286000000,6.375000000000000,0.464285714000000,0.089285714000000,2.142857143000000,289.828574300000014,360.000001600000019,283.942855599999973,410.800001099999974,482.228574999999978,379.485716700000012,513.600001700000007,602.057140900000036,479.257139999999993,341.771429599999976,404.628571599999987,365.885716800000012,390.114286199999981,373.142856100000017,344.914285899999982,242.971429000000001,327.942855000000009,412.171427600000015,392.457140499999980,408.171430299999997,448.228570100000013,412.342858499999977,369.942857500000002,331.428570600000000,342.342856499999982,310.857142899999985,310.685713399999997,375.828571300000021,290.114284499999997,323.257138899999973,214.399999199999996,182.000001499999996,308.971426000000008,283.942857500000002,214.685716899999989,-0.214285714000000,3.044642857000000,3.625000000000000,4.107142857000000,-0.178571429000000,4.205357143000000,3.446428571000000,15.723214290000000,22.321428569999998,18.026785709999999,23.669642860000000,28.116071430000002,30.803571430000002,28.857142860000000,28.616071430000002,24.062500000000000,27.946428569999998,28.544642860000000,30.589285709999999,27.383928569999998,26.142857140000000,27.428571430000002,28.321428569999998,28.392857140000000,24.910714290000001,25.669642860000000,22.955357140000000,28.062500000000000,23.464285709999999,17.035714290000001,13.705357140000000,8.401785714000001,12.660714290000000,14.241071430000000,11.526785710000000,-7.633928571000000,-5.633928571000000,-1.892857143000000,-3.946428571000000,-10.214285710000000,-3.321428571000000,-5.491071429000000,1.455357143000000,8.169642856999999,7.964285714000000,11.160714290000000,15.651785710000000,16.866071430000002,16.642857140000000,17.955357140000000,16.723214290000001,18.473214290000001,17.901785709999999,19.419642860000000,16.821428569999998,13.732142860000000,14.321428570000000,16.535714290000001,17.339285709999999,14.142857140000000,15.392857140000000,13.089285710000000,15.375000000000000,12.500000000000000,6.098214286000000,4.285714286000000,1.821428571000000,-0.767857143000000,0.410714286000000,0.767857143000000,iowa,43.375301800000003,-95.165427899999997,30,180616.422042864316609,1980720818.214031457901001
4,4,130956.800000000002910,32,19063,19063,Emmet,IA,1.434046437446542,30,emmet,225,2018,155.800000000000011,3.485389610000000,423.454546600000015,8.839285714000001,-0.909090909000000,3.965097403000000,2.446428571000000,0.017857143000000,5.517857143000000,0.267857143000000,0.875000000000000,9.946428571000000,3.642857143000000,0.000000000000000,5.732142857000000,9.517857143000001,0.375000000000000,7.017857143000000,5.303571429000000,2.928571429000000,2.767857143000000,21.857142860000000,8.964285714000001,2.642857143000000,7.357142857000000,2.857142857000000,0.642857143000000,2.928571429000000,1.875000000000000,7.053571429000000,5.803571429000000,5.410714286000000,11.375000000000000,0,19.571428569999998,0.446428571000000,2.392857143000000,6.428571429000000,0.357142857000000,0.125000000000000,2.250000000000000,295.600000899999998,373.371429999999975,278.628573300000028,418.114287499999989,500.628572200000008,387.371428600000002,500.342856799999993,618.571430800000030,489.257145499999979,372.285714799999994,423.828572099999974,366.228569300000004,391.428573599999993,378.171429799999999,340.742854799999975,243.828572699999995,328.399999299999990,407.771430399999986,385.999999699999989,399.314285799999993,441.085714100000018,412.514286000000027,374.514284999999973,334.857142899999985,325.828570800000023,305.885716300000013,312.514284099999998,380.228570699999977,292.742858899999987,319.371428400000013,213.257144100000005,197.600000700000010,305.542857000000026,284.057143900000028,219.714285399999994,-0.062500000000000,2.973214286000000,3.508928571000000,3.866071429000000,-0.017857143000000,4.446428571000000,2.714285714000000,15.723214290000000,22.401785709999999,18.116071430000002,23.562500000000000,27.419642860000000,30.973214290000001,28.812500000000000,27.991071430000002,24.598214290000001,27.830357140000000,28.214285709999999,30.187500000000000,27.241071430000002,26.017857140000000,27.223214290000001,27.964285709999999,28.321428569999998,24.544642860000000,25.625000000000000,22.982142860000000,27.928571430000002,24.053571430000002,17.366071430000002,13.776785710000000,9.125000000000000,12.625000000000000,14.026785710000000,11.625000000000000,-7.562500000000000,-5.767857143000000,-2.089285714000000,-4.285714286000000,-10.250000000000000,-3.223214286000000,-6.098214286000000,1.258928571000000,8.410714285999999,8.428571429000000,11.178571430000000,15.366071430000000,16.785714290000001,16.491071430000002,17.321428569999998,16.946428569999998,18.419642860000000,17.464285709999999,19.089285709999999,16.696428569999998,13.642857140000000,14.410714290000000,16.205357140000000,17.205357140000000,14.142857140000000,15.241071430000000,13.044642860000000,14.928571430000000,12.446428570000000,5.982142857000000,4.267857143000000,1.946428571000000,-0.776785714000000,-0.080357143000000,0.464285714000000,iowa,43.370752799999998,-94.674993299999997,32,180185.839319789898582,1974360374.155468940734863
5,5,172890.299999999988358,3,19005,19005,Allamakee,IA,1.847861729252398,3,allamakee,196,2018,198.400000000000006,3.973026974000000,409.433766699999978,11.267232770000000,-1.135864136000000,5.065684315000000,2.263736264000000,0.000000000000000,0.000000000000000,1.329670330000000,1.483516484000000,8.461538462000000,3.604395604000000,0.000000000000000,17.505494509999998,8.626373625999999,0.428571429000000,5.934065934000000,5.252747253000000,10.373626370000000,0.516483516000000,9.021978022000001,6.054945055000000,2.021978022000000,4.857142857000000,5.461538462000000,0.000000000000000,2.197802198000000,3.736263736000000,3.384615385000000,1.296703297000000,17.439560440000001,16.703296699999999,0,13.516483520000000,3.648351648000000,7.417582418000000,9.824175823999999,1.186813187000000,0.769230769000000,4.054945055000000,350.945054599999992,396.378024900000014,431.648351600000012,398.945055099999990,422.927472099999989,359.736262399999987,421.802200299999981,576.210991199999967,392.756043799999986,345.810989199999995,406.610988200000008,324.923076900000012,375.208791200000007,375.279121499999974,336.843958100000009,266.654944000000000,372.782417399999986,446.628571599999987,399.507690099999991,348.167033399999980,421.169229700000017,405.098902099999975,376.334067199999993,369.336263099999996,332.870330500000023,292.641758499999980,288.175824200000022,405.556043400000021,285.854945699999973,300.799998700000003,173.749451300000004,232.439561499999996,288.914285800000016,257.406594400000017,220.342857000000009,1.956043956000000,6.203296703000000,7.664835165000000,7.527472527000000,1.109890110000000,6.203296703000000,6.456043956000000,18.763736260000002,23.593406590000001,20.098901099999999,24.362637360000001,25.109890109999998,29.604395600000000,26.236263739999998,26.587912090000000,25.104395600000000,28.956043959999999,28.785714290000001,30.032967029999998,26.500000000000000,25.934065929999999,27.159340660000002,28.219780220000001,29.054945050000001,24.780219779999999,26.604395600000000,23.598901099999999,27.120879120000001,24.038461540000000,16.972527469999999,15.346153850000000,14.115384620000000,12.258241760000001,12.895604400000000,11.516483520000000,-8.758241758000000,-5.406593407000000,-4.994505495000000,-4.489010989000000,-10.120879120000000,-3.225274725000000,-4.368131868000000,0.615384615000000,9.961538462000000,7.604395604000000,10.686813190000001,13.989010990000001,16.532967029999998,14.098901100000001,17.247252750000001,16.945054949999999,17.967032970000002,15.978021979999999,18.296703300000001,16.895604400000000,14.181318680000000,14.269230770000000,16.703296699999999,16.934065929999999,14.368131869999999,15.873626370000000,14.230769230000000,12.384615380000000,12.340659340000000,5.758241758000000,6.423076923000000,4.538461538000000,-0.631868132000000,0.197802198000000,0.939560440000000,iowa,43.296173099999997,-91.396185599999995,3,237607.001611191430129,3223746538.854850292205811
6,6,208208.299999999988358,55,19109,19109,Kossuth,IA,2.127970267424955,53,kossuth,248,2018,180.000000000000000,3.211893370000000,409.350649200000021,9.581681476000000,-0.587491456000000,4.497095010000000,1.969924812000000,0.285714286000000,4.954887218000000,0.541353383000000,1.421052632000000,7.586466165000000,3.496240602000000,0.000000000000000,6.609022556000000,7.842105263000000,0.624060150000000,4.676691729000000,3.947368421000000,3.338345865000000,2.263157895000000,16.548872180000000,11.007518800000000,3.248120301000000,3.451127820000000,5.090225564000000,1.421052632000000,1.248120301000000,2.774436090000000,4.729323308000000,7.165413534000000,5.383458647000000,12.721804510000000,0,19.195488720000000,1.000000000000000,2.857142857000000,7.721804511000000,1.090225564000000,0.203007519000000,1.436090226000000,293.269171599999993,365.136842500000000,302.003007099999991,406.279700100000014,488.204512700000009,376.084209499999986,473.648121100000026,601.431577299999958,454.303760000000011,327.506765599999994,414.989473499999974,360.396991599999978,398.604511699999989,390.977443199999982,338.815038599999980,257.082707799999980,334.412030700000003,399.326316899999995,391.362404400000003,386.406016200000010,426.658645999999976,421.750373400000001,374.207519100000013,357.894735900000001,322.237594000000001,314.153383500000018,320.216541600000028,387.368421699999999,301.738345299999992,305.299247499999979,219.452631800000006,204.559397399999995,280.180451699999992,280.709773799999994,232.348873200000014,0.639097744000000,3.969924812000000,4.330827068000000,4.124060150000000,0.639097744000000,5.082706767000000,3.635338346000000,16.947368420000000,22.902255640000000,19.097744360000000,24.030075190000002,27.270676689999998,31.812030080000000,29.225563910000002,27.932330830000001,25.462406020000000,28.150375940000000,28.270676689999998,30.413533829999999,27.597744360000000,26.263157889999999,27.507518800000000,28.150375940000000,28.680451130000002,24.751879700000000,25.879699250000002,23.785714290000001,28.131578950000002,25.383458650000001,17.627819550000002,14.706766920000000,10.879699250000000,12.424812030000000,14.187969920000000,12.255639100000000,-7.022556391000000,-5.037593985000000,-2.293233083000000,-4.511278195000000,-10.056390980000000,-3.037593985000000,-5.800751880000000,1.593984962000000,9.270676692000000,9.135338345999999,11.296992480000000,15.127819550000000,17.018796989999998,16.225563910000002,17.105263160000000,17.285714290000001,18.387218050000001,17.259398500000000,19.206766920000000,16.796992480000000,13.909774440000000,14.443609020000000,16.323308269999998,17.300751880000000,14.349624060000000,15.285714290000000,13.484962410000000,14.503759400000000,12.706766920000000,6.323308271000000,4.703007519000000,2.860902256000000,-0.560150376000000,0.124060150000000,0.334586466000000,iowa,43.182535100000003,-94.209097999999997,55,285918.615332242392469,4751821677.325174331665039
7,7,170177.500000000000000,96,19191,19191,Winneshiek,IA,1.788707822796436,89,winneshiek,289,2018,198.099999999999994,3.782467532000000,416.231168799999978,10.643262990000000,-1.814123376000000,4.414569805000000,2.562500000000000,0.000000000000000,0.258928571000000,1.473214286000000,1.330357143000000,8.741071429000000,2.776785714000000,0.000000000000000,16.214285709999999,7.955357143000000,0.294642857000000,3.982142857000000,4.258928571000000,14.857142860000000,0.437500000000000,10.330357140000000,9.303571429000000,1.714285714000000,6.446428571000000,3.991071429000000,0.062500000000000,2.392857143000000,3.848214286000000,2.401785714000000,1.500000000000000,18.598214290000001,14.544642860000000,0,14.964285710000000,2.357142857000000,6.964285714000000,10.214285710000000,1.571428571000000,0.669642857000000,3.875000000000000,339.685714099999984,396.314286900000013,431.285714299999995,403.685714599999983,445.799999200000002,354.685713799999974,436.371429299999988,597.857142299999964,408.399998900000014,347.942858199999989,416.514285500000028,320.142856600000016,385.257140699999979,383.457141600000000,328.228570400000024,260.342857999999978,367.542858700000011,445.600001700000007,396.114285600000017,365.999999899999978,433.514285500000028,405.971428699999990,381.085714600000017,387.114285100000018,333.142856300000005,293.085714900000028,292.142856999999992,404.914285399999983,290.600000000000023,309.771428500000013,178.828570799999994,226.514284699999990,283.771429899999987,260.314285900000016,235.142857800000002,1.111607143000000,5.441964286000000,7.058035714000000,6.352678571000000,0.450892857000000,5.575892857000000,5.495535714000000,18.526785709999999,23.102678569999998,19.767857140000000,24.191964290000001,25.026785709999999,30.129464290000001,26.785714290000001,26.316964290000001,25.017857140000000,28.638392860000000,28.575892860000000,29.825892860000000,26.410714290000001,25.767857140000000,26.924107140000000,28.071428569999998,28.933035709999999,24.651785709999999,26.334821430000002,23.419642860000000,27.263392860000000,24.066964290000001,16.861607140000000,14.933035710000000,13.491071430000000,12.102678570000000,12.857142860000000,11.540178570000000,-9.169642856999999,-5.861607143000000,-5.191964286000000,-5.080357143000000,-11.290178570000000,-4.031250000000000,-5.401785714000000,-0.513392857000000,9.441964285999999,7.156250000000000,9.986607143000001,13.852678570000000,16.191964290000001,13.843750000000000,16.758928569999998,16.839285709999999,17.741071430000002,15.745535710000000,17.937500000000000,16.290178569999998,13.241071430000000,13.504464290000000,15.830357140000000,16.058035709999999,13.767857140000000,15.267857140000000,13.562500000000000,12.089285710000000,11.763392860000000,5.147321429000000,5.656250000000000,4.107142857000000,-1.339285714000000,-0.437500000000000,-0.258928571000000,iowa,43.267717900000001,-91.856313900000004,96,233955.150423962448258,3374056114.477691650390625
8,8,140643.200000000011642,45,19089,19089,Howard,IA,1.522255453723228,43,howard,238,2018,185.500000000000000,3.775974026000000,420.263203099999998,9.820887446000000,-1.669913420000000,4.075487013000000,2.261904762000000,0.000000000000000,0.940476190000000,1.392857143000000,1.654761905000000,8.916666666999999,3.000000000000000,0.000000000000000,15.773809520000000,6.916666667000000,0.678571429000000,2.845238095000000,3.309523810000000,15.904761900000000,0.488095238000000,10.869047620000000,7.154761905000000,2.083333333000000,6.416666667000000,2.988095238000000,0.297619048000000,2.250000000000000,4.119047619000000,2.488095238000000,2.559523810000000,18.285714290000001,14.440476190000000,0,14.916666670000000,1.464285714000000,5.452380952000000,9.797619048000000,2.142857143000000,0.654761905000000,3.273809524000000,333.028568800000016,398.361903600000005,404.723808299999973,404.876192000000003,462.361905400000012,354.476191599999993,444.914284300000020,610.285714299999995,441.333332600000006,345.447618900000009,423.085714399999972,318.438093999999978,388.723810099999980,390.895238399999982,337.676190299999973,258.819048800000019,363.009524600000020,430.628572000000020,394.019047699999987,369.561904400000003,426.552381599999990,397.980952500000001,380.609525200000007,385.790475899999990,327.123809999999992,291.199999100000014,294.704761099999985,400.000000000000000,290.780952599999978,311.657141400000000,185.295238799999993,226.285713200000004,272.038096800000005,258.209524199999976,234.933335000000000,0.351190476000000,4.553571429000000,5.886904762000000,5.119047619000000,-0.232142857000000,4.744047619000000,4.529761905000000,17.714285709999999,22.482142860000000,19.023809520000000,23.857142860000000,25.291666670000001,30.208333329999999,27.041666670000001,26.196428569999998,24.744047620000000,28.190476189999998,28.101190480000000,29.547619050000002,26.214285709999999,25.315476189999998,26.375000000000000,27.714285709999999,28.625000000000000,24.285714290000001,25.523809520000000,22.928571430000002,27.208333329999999,23.523809520000000,16.654761900000000,14.101190480000000,12.464285710000000,11.327380950000000,12.226190480000000,11.029761900000000,-8.785714285999999,-5.898809524000000,-4.535714286000000,-5.202380952000000,-11.375000000000000,-4.005952381000000,-5.452380952000000,0.011904762000000,9.428571429000000,7.505952381000000,9.940476190000000,14.154761900000000,16.416666670000001,13.815476190000000,16.541666670000001,16.755952380000000,17.601190480000000,16.029761900000000,18.279761900000000,16.172619050000002,13.238095240000000,13.654761900000000,15.779761900000000,16.333333329999999,13.904761900000000,15.113095240000000,13.267857140000000,12.863095240000000,11.738095240000000,5.077380952000000,5.148809524000000,3.571428571000000,-1.630952381000000,-0.440476190000000,-0.464285714000000,iowa,43.335364100000000,-92.323000699999994,45,193509.490579276956851,2321975467.042661666870117
9,9,130966.800000000002910,95,19189,19189,Winnebago,IA,1.435337815723652,88,winnebago,288,2018,180.800000000000011,3.535714286000000,414.774025199999983,9.157467532000000,-1.011363636000000,4.073051948000000,2.035714286000000,0.000000000000000,4.821428571000000,0.785714286000000,1.571428571000000,9.285714285999999,2.535714286000000,0.000000000000000,8.321428571000000,9.035714285999999,0.500000000000000,2.285714286000000,3.892857143000000,10.464285710000000,2.857142857000000,14.357142860000000,13.214285710000000,2.750000000000000,2.464285714000000,10.107142860000000,1.928571429000000,1.392857143000000,2.571428571000000,2.357142857000000,7.000000000000000,5.214285714000000,10.964285710000000,0,22.714285709999999,0.857142857000000,3.428571429000000,7.285714286000000,1.214285714000000,0.321428571000000,1.250000000000000,298.971427399999982,378.171428100000014,325.371428400000013,393.485711799999990,484.114287199999978,370.399998799999992,488.685715800000025,601.942853700000001,476.799995400000000,321.942858000000001,422.628572700000007,357.485712299999989,385.828571899999986,375.657143200000007,323.428574700000013,255.542855400000008,317.828571899999986,404.571430799999973,389.142857699999979,379.771427700000004,421.714284599999985,405.485713400000009,375.542859200000009,356.342856799999993,310.742857300000026,316.571432399999992,319.314284699999973,387.085716199999979,284.457142999999974,307.428568700000028,221.257143600000006,215.314288000000005,275.428571999999974,274.399998799999992,230.628570800000006,-0.053571429000000,3.500000000000000,4.107142857000000,3.500000000000000,-0.107142857000000,4.285714286000000,3.589285714000000,16.571428569999998,22.696428569999998,18.803571430000002,23.839285709999999,26.660714290000001,30.982142860000000,28.285714290000001,27.160714290000001,25.053571430000002,27.767857140000000,27.821428569999998,29.892857140000000,26.607142860000000,25.553571430000002,26.714285709999999,27.607142860000000,28.535714290000001,24.375000000000000,25.589285709999999,23.464285709999999,27.642857140000000,24.232142860000000,17.089285709999999,14.250000000000000,11.232142860000000,11.696428570000000,13.357142860000000,11.607142860000000,-7.767857143000000,-5.714285714000000,-3.142857143000000,-4.982142857000000,-10.607142860000000,-3.428571429000000,-5.946428571000000,1.303571429000000,9.160714285999999,9.017857143000001,10.982142860000000,14.910714290000000,16.928571430000002,15.660714290000000,17.071428569999998,17.178571430000002,18.196428569999998,17.089285709999999,18.964285709999999,16.446428569999998,13.785714290000000,14.392857140000000,16.089285709999999,17.267857140000000,14.232142860000000,15.196428570000000,13.410714290000000,14.267857140000000,12.553571430000000,6.000000000000000,4.535714286000000,2.714285714000000,-1.017857143000000,-0.035714286000000,0.053571429000000,iowa,43.374787900000001,-93.731608800000004,95,180232.384313501854194,1969238437.549251317977905
10,10,140088.600000000005821,66,19131,19131,Mitchell,IA,1.515796010060072,62,mitchell,259,2018,193.400000000000006,3.845454546000000,418.393766000000028,9.498701298000000,-1.088311688000000,4.205194805000000,2.071428571000000,0.000000000000000,3.257142857000000,1.157142857000000,1.600000000000000,9.714285714000001,2.957142857000000,0.000000000000000,13.957142859999999,7.442857143000000,0.142857143000000,3.742857143000000,2.471428571000000,16.771428570000001,0.442857143000000,9.757142857000000,6.814285714000000,2.828571429000000,4.685714286000000,4.685714286000000,0.642857143000000,1.171428571000000,3.914285714000000,2.185714286000000,4.914285714000000,11.257142860000000,10.828571430000000,0,18.028571430000000,1.285714286000000,4.500000000000000,9.014285714000000,2.800000000000000,0.528571429000000,2.542857143000000,321.279998999999975,392.548571799999991,372.297143300000016,395.794285800000011,469.485713799999985,356.159999500000026,460.982855700000016,608.320002100000011,457.371430299999986,338.057140899999979,430.034284099999979,327.771429200000000,390.582858299999998,390.171427300000005,336.639998499999990,260.525715300000002,347.382858300000009,413.668569900000023,387.565717000000006,378.194287299999985,426.057142899999974,408.822856800000011,372.708571300000017,371.611428799999999,319.405715499999985,290.102857500000027,302.628570299999978,396.297142199999996,284.799999599999978,308.388574199999994,196.068570599999987,222.765713799999986,269.165715499999976,260.342855600000007,229.485715800000008,0.107142857000000,4.114285714000000,5.150000000000000,4.200000000000000,-0.192857143000000,4.471428571000000,4.350000000000000,17.221428570000000,22.442857140000001,18.750000000000000,23.871428569999999,25.985714290000001,30.328571430000000,27.492857140000002,26.507142859999998,24.892857140000000,27.857142860000000,27.850000000000001,29.600000000000001,26.185714290000000,25.292857139999999,26.421428570000000,27.521428570000001,28.407142860000000,24.228571429999999,25.350000000000001,22.964285709999999,27.350000000000001,23.592857140000000,16.764285709999999,14.085714290000000,12.007142860000000,11.235714290000001,12.442857139999999,11.071428570000000,-8.107142856999999,-5.621428571000000,-3.800000000000000,-5.028571429000000,-10.692857139999999,-3.321428571000000,-5.078571429000000,1.071428571000000,9.650000000000000,8.350000000000000,10.607142860000000,14.585714290000000,16.807142859999999,14.514285709999999,16.921428570000000,16.942857140000001,17.957142860000001,16.585714289999999,18.850000000000001,16.421428570000000,13.699999999999999,14.221428570000000,16.128571430000001,17.078571430000000,14.278571430000000,15.428571430000000,13.600000000000000,13.678571430000000,12.264285709999999,5.671428571000000,5.292857143000000,3.428571429000000,-1.392857143000000,-0.021428571000000,0.128571429000000,iowa,43.342033000000001,-92.784020900000002,66,192754.064944931742502,2302146605.418396949768066
