Settlement Name,Settlement Code,All Ages,Under 16,16 to 64,65 & Over
Aberchirder,S20001019,1260,245,723,292
Aberdeen,S20001020,214610,31261,151117,32232
Aberdour,S20001021,1710,347,1007,356
Aberfeldy,S20001022,1950,299,1160,491
Aberfoyle,S20001023,830,158,541,131
Aberlady,S20001024,1190,225,708,257
Aberlour,S20001025,1050,147,573,330
Abernethy,S20001026,1460,291,897,272
Aboyne,S20001027,2910,572,1696,642
Airth,S20001028,1940,389,1170,381
Alford,S20001029,2520,451,1520,549
Allanton,S20001030,1150,163,737,250
Alloa,S20001031,20730,3679,13291,3760
Almondbank,S20001032,1430,204,890,336
Alness,S20001033,5800,1213,3470,1117
Alva,S20001034,4600,652,2873,1075
Alyth,S20001035,2400,388,1365,647
Ancrum,S20001036,500,74,284,142
Annan,S20001037,8780,1592,5247,1941
Annbank,S20001038,920,165,581,174
Anstruther and Pittenweem,S20001039,5250,844,3102,1304
Arbroath,S20001040,23940,4228,14626,5086
Ardersier,S20001041,1190,225,755,210
Ardrishaig,S20001042,1290,218,745,327
Armadale,S20001043,12550,2743,7879,1928
Auchenblae,S20001044,560,134,346,80
Auchinleck,S20001045,3730,661,2277,792
Auchinloch,S20001046,720,96,432,192
Auchterarder,S20001047,5120,781,2991,1348
Auchtermuchty,S20001048,2110,346,1279,485
Auldearn,S20001049,640,107,417,116
Aviemore,S20001050,3240,541,2148,551
Avoch,S20001051,1020,167,626,227
Avonbridge,S20001052,660,121,435,104
Ayr,S20001053,62580,9660,37646,15274
Ayton,S20001054,600,85,344,171
Baile a'Mhanaich (Balivanich),S20001055,530,118,337,75
Balfron,S20001056,2100,432,1302,366
Balintore,S20001057,1010,199,566,245
Ballachulish,S20001058,640,104,381,155
Ballater,S20001059,1460,168,807,485
"Ballingry, Lochore and Crosshill",S20001060,5740,1150,3504,1086
Balmedie,S20001061,2560,595,1655,310
Balmullo,S20001062,1370,212,812,346
Banchory,S20001063,7560,1433,4572,1555
Banff,S20001064,4100,666,2483,951
Bankfoot,S20001065,1220,200,728,292
Barrhead,S20001066,17610,3109,11272,3229
Bathgate,S20001067,28470,5771,18631,4068
Beauly,S20001068,1470,221,874,375
Beith,S20001069,6040,960,3781,1299
Bellsbank,S20001070,1270,245,815,210
Biggar,S20001071,2420,360,1407,653
Birkhill and Muirhead,S20001072,2070,324,1238,508
Bishopton,S20001073,5330,858,3337,1135
Blackburn (Aberdeenshire),S20001074,3050,764,1999,287
Blackford,S20001075,840,170,519,151
Blackridge,S20001076,2010,384,1296,330
Blairgowrie,S20001077,9020,1309,5101,2610
Blairhall,S20001078,950,203,595,152
Bo'ness,S20001080,14760,2569,9258,2933
Boddam,S20001079,1270,250,809,211
Bonnybridge,S20001081,25660,4703,16453,4504
"Bonnyrigg, Dalkeith and Gorebridge",S20001082,52260,10383,32796,9081
Bowmore,S20001083,720,113,424,183
Braco,S20001084,550,90,318,142
Brae,S20001085,750,133,509,108
Brechin,S20001086,7400,1283,4513,1604
Bridge of Earn,S20001087,2990,564,1787,639
Bridge of Weir,S20001088,4820,920,2889,1011
Bridgend,S20001089,810,182,515,113
Broadford,S20001090,1110,170,692,248
Brodick,S20001091,890,113,515,262
Brookfield,S20001092,540,81,311,148
Brora,S20001093,1240,197,690,353
Broxburn,S20001094,15440,2927,9735,2778
Buchlyvie,S20001095,560,94,351,115
Buckie,S20001096,8760,1506,5293,1961
Burghead,S20001097,1910,304,1198,408
Burntisland,S20001098,6590,1241,4015,1334
Burrelton,S20001099,710,139,401,170
Cairneyhill,S20001100,2400,399,1535,466
Calderbank,S20001101,1600,321,1020,259
Caldercruix,S20001102,2450,529,1573,348
California,S20001103,790,140,525,125
Callander,S20001104,3160,472,1856,832
Campbeltown,S20001105,4670,769,2654,1247
Cardenden and Auchterderran,S20001106,5420,1055,3301,1064
Cardrona,S20001107,910,229,548,133
Cardross,S20001108,2110,334,1265,511
Carluke,S20001109,13930,2293,8899,2738
Carmunnock,S20001110,1280,241,781,258
Carnoustie,S20001111,11360,1999,6644,2717
Carnwath,S20001112,1410,245,913,252
Carstairs,S20001113,880,164,567,149
Carstairs Junction,S20001114,640,130,412,98
Castle Douglas,S20001115,4080,660,2318,1102
Castletown,S20001116,860,159,524,177
Catrine,S20001117,2100,326,1363,411
Ceres,S20001118,950,147,538,265
Chapelton,S20001119,640,89,375,176
Chirnside,S20001120,1440,310,829,301
Chryston,S20001121,4380,784,2739,857
Clackmannan,S20001122,3240,538,2033,669
Cleland,S20001123,3130,611,2026,493
Coalburn,S20001124,1220,214,756,250
Coaltown of Wemyss,S20001125,680,98,430,152
Coatbridge and Airdrie,S20001126,91020,17133,59097,14790
Cockenzie,S20001127,5470,890,3532,1048
Coldingham,S20001128,530,70,305,155
Coldstream,S20001129,1930,240,1028,662
Comrie (Perth and Kinross),S20001130,1920,262,949,709
Conon Bridge and Maryburgh,S20001131,3140,609,1909,622
Coupar Angus,S20001132,2350,358,1486,506
"Cowdenbeath, Lochgelly and Lumphinnans",S20001133,18960,3436,11924,3600
Cowie,S20001134,2700,578,1747,375
Coylton,S20001135,2160,379,1341,440
Crail,S20001136,1680,190,942,548
Creetown,S20001137,640,85,369,186
Crieff,S20001138,7430,1189,4271,1970
